"","X","Accession","Species","LeafBudburst","LeafEmerg","LeafBBdoy","LeafEmergdoy"
"249",249,"779-65*A","Abies_nordmanniana","2015-05-12","2015-05-12",131,131
"250",250,"1279-64*B","Pseudotsuga_menziesii","2015-05-12","2015-05-12",131,131
"251",251,"16511*C","Picea_rubens","2015-05-25","2015-05-25",144,144
"252",252,"1509-1*A","Tsuga_canadensis","2015-05-12","2015-05-25",131,144
"253",253,"17516*A","Thuja_plicata","2015-05-12","2015-05-12",131,131
"254",254,"17516*B","Thuja_plicata","2015-05-12","2015-05-12",131,131
"255",255,"4000*A","Calocedrus_decurrens","2015-05-12","2015-05-12",131,131
"256",256,"4000*D","Calocedrus_decurrens","2015-05-12","2015-05-12",131,131
"257",257,"4000*E","Calocedrus_decurrens","2015-05-12","2015-05-12",131,131
"258",258,"224-49*A","Calocedrus_decurrens","2015-05-12","2015-05-12",131,131
"259",259,"11373*B","Pinus_densiflora","2015-05-25","2015-06-09",144,159
"260",260,"11371*J","Pinus_thunbergii","2015-06-03",NA,153,NA
"261",261,"14937*A","Larix_decidua","2015-04-21","2015-05-04",110,123
"262",262,"1239-83*C","Styphnolobium_japonicum","2015-05-04","2015-05-12",123,131
"263",263,"16511*G","Picea_rubens","2015-05-25","2015-05-25",144,144
"264",264,"4802*C","Pinus_nigra","2015-05-12","2015-06-03",131,153
"265",265,"15803*M","Tsuga_caroliniana","2015-05-12","2015-05-12",131,131
"266",266,"6995*A","Picea_purpurea","2015-05-12","2015-05-25",131,144
"267",267,"11372*H","Pinus_tabuliformis","2015-06-03","2015-06-09",153,159
"268",268,"1894-80*B","Sorbus_yuana","2015-04-21","2015-05-04",110,123
"269",269,"250-80*E","Pyrus_calleryana","2015-04-21","2015-04-27",110,116
"270",270,"250-80*A","Pyrus_calleryana","2015-04-21","2015-04-27",110,116
"271",271,"11371*M","Pinus_thunbergii","2015-05-12","2015-06-03",131,153
"272",272,"4802*D","Pinus_nigra","2015-05-25","2015-06-09",144,159
"273",273,"16592*E","Pinus_thunbergii","2015-05-25",NA,144,NA
"274",274,"16592*D","Pinus_thunbergii","2015-05-25",NA,144,NA
"275",275,"4802*E","Pinus_nigra","2015-05-25","2015-06-09",144,159
"276",276,"6284*I","Picea_asperata","2015-05-12","2015-05-12",131,131
"277",277,"16515*G","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"278",278,"16515*C","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"279",279,"6998*B","Picea_asperata","2015-05-12","2015-05-12",131,131
"280",280,"21774*A","Picea_asperata","2015-05-12","2015-05-25",131,144
"281",281,"6992*W","Picea_asperata","2015-05-12","2015-05-25",131,144
"282",282,"16515*A","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"283",283,"7416*B","Fagus_engleriana","2015-04-21","2015-04-27",110,116
"284",284,"16823*K","Quercus_glandulifera","2015-05-04","2015-05-12",123,131
"285",285,"12453*A","Kalopanax_septemlobus","2015-05-12","2015-05-12",131,131
"286",286,"12453*C","Kalopanax_septemlobus","2015-05-04","2015-05-12",123,131
"287",287,"18053*A","Quercus_variabilis","2015-05-04","2015-05-12",123,131
"288",288,"787*B","Liriodendron_tulipifera","2015-04-27","2015-05-12",116,131
"289",289,"23189*A","Pyrus_pyrifolia","2015-04-21","2015-05-04",110,123
"290",290,"10569*A","Pyrus_pyrifolia","2015-04-21","2015-05-12",110,131
"291",291,"1237-79*B","Gleditsia_triacanthos","2015-05-12","2015-05-12",131,131
"292",292,"1237-79*C","Gleditsia_triacanthos","2015-05-12","2015-05-12",131,131
"293",293,"12651*I","Aesculus_flava","2015-04-21","2015-04-27",110,116
